time,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
0.000000,0.050281,9.771568,0.012694,0.005725,-0.014029,0.005139
0.010000,-0.001272,9.791892,0.047686,-0.016733,-0.014459,-0.000358
0.020000,0.064089,9.826543,-0.044206,0.024986,-0.000229,0.003013
0.030000,-0.033445,9.782339,-0.061292,0.007218,-0.003039,0.006679
0.040000,0.035158,9.794470,-0.078323,0.015372,-0.003192,0.011615
0.050000,0.048734,9.755890,-0.001322,0.002691,0.021664,0.016158
0.060000,0.040785,9.801301,-0.025092,0.005940,0.010647,0.005441
0.070000,-0.010900,9.812056,0.037630,-0.007536,-0.012177,0.003548
0.080000,0.116925,9.858836,0.035285,0.016376,0.006580,0.003471
0.090000,-0.019763,9.767641,0.055646,-0.002120,-0.011610,0.001449
0.100000,-0.027043,9.876276,-0.042143,-0.001161,-0.021412,0.006207
0.110000,0.037318,9.813893,0.057144,-0.002221,-0.004037,0.004026
0.120000,0.057071,9.793091,-0.025017,-0.007800,-0.016839,-0.002838
0.130000,0.021505,9.846775,0.014340,0.003442,-0.022529,-0.017512
0.140000,0.025414,9.714978,-0.060250,0.003031,-0.000343,0.006891
0.150000,-0.030695,9.827026,0.030272,-0.017663,0.004483,-0.002357
0.160000,-0.006462,9.813457,-0.045179,0.003252,-0.012757,0.015220
0.170000,-0.024491,9.797456,-0.000980,-0.022962,-0.009734,-0.000200
0.180000,0.072901,9.895021,0.017778,0.022174,-0.002531,0.010675
0.190000,0.015512,9.797723,0.021687,0.002770,-0.020539,-0.007525
0.200000,-0.110634,9.833749,0.006529,0.000915,-0.011999,-0.001366
0.210000,0.059040,9.831742,-0.113646,0.005171,0.009615,-0.013435
0.220000,-0.044492,9.750412,0.030381,-0.005526,0.008921,0.001043
0.230000,0.028470,9.865738,-0.101041,-0.009188,-0.004749,-0.016784
0.240000,-0.004647,9.813130,0.039481,0.001351,0.013645,-0.000435
0.250000,0.048570,9.741140,-0.035198,-0.004812,-0.001738,-0.001904
0.260000,0.045722,9.859451,-0.046478,-0.004581,-0.008522,-0.001430
0.270000,0.026499,9.841724,-0.080128,0.009138,-0.001071,-0.026078
0.280000,-0.078293,9.773810,-0.051171,0.002006,0.006728,0.000419
0.290000,-0.042927,9.795654,0.025219,-0.006608,-0.013049,0.022688
0.300000,0.090880,9.720534,-0.004982,-0.003211,-0.002779,0.014054
0.310000,-0.010826,9.777210,-0.004130,0.013935,0.001040,-0.016272
0.320000,-0.053524,9.789038,-0.011047,0.000832,-0.006281,0.008669
0.330000,0.005280,9.857998,0.038281,0.022524,0.005489,0.002352
0.340000,0.000138,9.875208,0.033086,0.006635,-0.019377,0.001795
0.350000,0.012358,9.851368,0.037028,0.005179,0.008918,-0.018043
0.360000,-0.069218,9.850428,0.017511,-0.006221,0.012806,0.015520
0.370000,-0.087526,9.830275,0.070979,-0.004290,-0.010154,0.005893
0.380000,-0.051572,9.782725,-0.048597,-0.011656,0.012375,0.008865
0.390000,0.062648,9.822740,-0.009055,0.002125,0.004353,-0.004593
0.400000,0.042015,9.815051,-0.056170,0.008587,0.003619,0.005260
0.410000,0.021266,9.835038,0.015639,0.002064,-0.010371,-0.016116
0.420000,0.104737,9.764062,-0.004380,-0.008545,-0.002473,-0.019830
0.430000,-0.061108,9.892981,0.008765,-0.005187,-0.004086,-0.018336
0.440000,-0.032469,9.878952,-0.019534,0.001051,-0.010737,-0.009172
