time,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
0.000000,0.046056,9.828418,-0.069554,0.001248,-0.003822,0.006506
0.010000,0.032819,9.804479,-0.031717,-0.004093,0.011456,0.019580
0.020000,0.051665,9.803025,0.026752,0.000305,-0.011470,-0.005792
0.030000,-0.040953,9.730146,0.024862,-0.014243,0.004435,-0.019402
0.040000,-0.013585,9.829884,-0.090865,-0.002356,-0.033284,0.020112
0.050000,-0.031247,9.790903,-0.005684,-0.001538,-0.000528,0.003706
0.060000,-0.079489,9.782212,0.010494,0.003772,-0.009061,0.002833
0.070000,0.015382,9.894140,0.068418,-0.015098,-0.004874,-0.001456
0.080000,-0.080263,9.837234,0.000147,-0.002714,0.001385,0.005254
0.090000,0.003763,9.815263,-0.034106,-0.005622,-0.007984,-0.020164
0.100000,0.017374,9.854891,-0.038694,0.012809,-0.009843,-0.010210
0.110000,-0.035001,9.826204,0.000252,0.007729,0.011379,-0.003772
0.120000,0.051516,9.770933,-0.006270,0.011679,-0.001956,-0.010428
0.130000,0.068445,9.739741,0.029821,-0.000991,-0.017398,-0.014817
0.140000,-0.088174,9.786840,-0.042704,-0.006332,-0.003212,0.012996
0.150000,0.045655,9.770408,0.056415,-0.007727,-0.005964,-0.000366
0.160000,-0.013727,9.771587,0.002253,-0.004882,-0.010750,0.005323
0.170000,0.021911,9.821923,0.017170,0.011340,-0.019533,-0.017046
0.180000,0.018118,9.841338,0.052162,-0.005291,0.001413,-0.010618
0.190000,-0.046756,9.806831,-0.030639,0.009741,-0.019258,-0.017315
0.200000,-0.027694,9.804547,0.010845,-0.021482,-0.001485,0.025448
0.210000,-0.014221,9.860024,-0.005991,-0.000434,-0.001557,0.012514
0.220000,-0.068346,9.757774,0.051424,-0.008377,-0.002181,-0.008885
0.230000,-0.005318,9.846196,-0.014953,-0.000186,-0.002866,0.008269
0.240000,0.068352,9.705063,-0.006536,0.009802,-0.003683,-0.007513
0.250000,-0.034046,9.786108,0.058578,0.000917,-0.006991,0.003403
0.260000,-0.000628,9.865265,-0.029470,-0.008669,0.007023,-0.002177
0.270000,0.083472,9.806926,-0.070912,-0.011108,-0.015964,0.003381
0.280000,-0.037711,9.831212,-0.049441,0.004553,0.003221,0.028597
0.290000,-0.005367,9.839830,-0.021262,0.005201,0.001183,-0.002528
0.300000,0.012818,9.738420,-0.091639,0.005595,-0.005782,0.016621
0.310000,0.055854,9.881003,-0.019614,0.001157,0.014562,0.012705
0.320000,0.013778,9.747837,-0.023749,0.012213,0.000656,-0.001641
0.330000,0.098661,9.841203,0.026019,0.004525,0.011882,0.016826
0.340000,0.049934,9.868021,0.011721,0.014793,-0.001999,0.006428
0.350000,0.037525,9.777075,0.020358,-0.001843,0.008659,0.010453
0.360000,-0.086185,9.834531,-0.035398,0.017860,0.003585,-0.000944
0.370000,0.105949,9.937513,-0.072486,0.015356,-0.007261,0.005210
0.380000,-0.100854,9.822919,-0.028325,0.003383,0.006175,0.003019
0.390000,0.007566,9.735318,-0.018508,-0.010403,0.009182,0.007436
0.400000,0.051164,9.859222,0.055550,0.010119,-0.003569,0.018512
0.410000,0.007417,9.803026,-0.026074,0.005869,-0.009260,0.005541
0.420000,0.065071,9.745654,-0.017517,0.007263,-0.000899,0.012078
0.430000,-0.062840,9.828145,-0.050390,0.019243,0.008530,-0.004420
0.440000,-0.014847,9.795625,0.035651,0.013647,0.016945,-0.026290
0.450000,-0.060171,9.838952,0.050939,-0.017737,-0.017803,0.003074
0.460000,-0.016443,9.850498,-0.031489,0.009357,-0.005650,0.011530
0.470000,-0.005597,9.772662,0.002182,-0.011274,0.001490,0.003542
0.480000,-0.064133,9.870339,-0.005975,-0.003206,0.008841,0.018767
