time,ref_x,ref_y,ref_z
0.000000,0.000000,0.000000,0.000000
0.010000,0.000000,0.000000,0.000000
0.020000,0.000000,0.000000,0.000000
0.030000,0.000000,0.000000,0.000000
0.040000,0.000000,0.000000,0.000000
0.050000,0.000001,0.000000,0.000000
0.060000,0.000001,0.000000,0.000000
0.070000,0.000002,0.000000,0.000000
0.080000,0.000002,0.000000,0.000000
0.090000,0.000003,0.000000,0.000000
0.100000,0.000004,0.000000,0.000000
0.110000,0.000005,0.000000,0.000000
0.120000,0.000006,0.000000,0.000000
0.130000,0.000008,0.000000,0.000000
0.140000,0.000009,0.000000,0.000000
0.150000,0.000011,0.000000,0.000000
0.160000,0.000013,0.000000,0.000000
0.170000,0.000015,0.000000,0.000000
0.180000,0.000017,0.000000,0.000000
0.190000,0.000019,0.000000,0.000000
0.200000,0.000021,0.000000,0.000000
0.210000,0.000024,0.000000,0.000000
0.220000,0.000027,0.000000,0.000000
0.230000,0.000030,0.000000,0.000000
0.240000,0.000033,0.000000,0.000000
0.250000,0.000037,0.000000,0.000000
0.260000,0.000041,0.000000,0.000000
0.270000,0.000045,0.000000,0.000000
0.280000,0.000049,0.000000,0.000000
0.290000,0.000054,0.000000,0.000000
0.300000,0.000058,0.000000,0.000000
0.310000,0.000064,0.000000,0.000000
0.320000,0.000069,0.000000,0.000000
0.330000,0.000075,0.000000,0.000000
0.340000,0.000081,0.000000,0.000000
0.350000,0.000087,0.000000,0.000000
0.360000,0.000094,0.000000,0.000000
0.370000,0.000101,0.000000,0.000000
0.380000,0.000109,0.000000,0.000000
0.390000,0.000116,0.000000,0.000000
0.400000,0.000125,0.000000,0.000000
0.410000,0.000134,0.000000,0.000000
0.420000,0.000143,0.000000,0.000000
0.430000,0.000152,0.000000,0.000000
0.440000,0.000163,0.000000,0.000000
0.450000,0.000173,0.000000,0.000000
0.460000,0.000184,0.000000,0.000000
0.470000,0.000196,0.000000,0.000000
0.480000,0.000208,0.000000,0.000000
0.490000,0.000221,0.000000,0.000000
0.500000,0.000235,0.000000,0.000000
0.510000,0.000249,0.000000,0.000000
0.520000,0.000264,0.000000,0.000000
0.530000,0.000279,0.000000,0.000000
0.540000,0.000296,0.000000,0.000000
0.550000,0.000313,0.000000,0.000000
0.560000,0.000331,0.000000,0.000000
0.570000,0.000349,0.000000,0.000000
0.580000,0.000369,0.000000,0.000000
0.590000,0.000389,0.000000,0.000000
0.600000,0.000410,0.000000,0.000000
0.610000,0.000433,0.000000,0.000000
0.620000,0.000456,0.000000,0.000000
0.630000,0.000480,0.000000,0.000000
0.640000,0.000505,0.000000,0.000000
0.650000,0.000532,0.000000,0.000000
0.660000,0.000560,0.000000,0.000000
0.670000,0.000589,0.000000,0.000000
0.680000,0.000619,0.000000,0.000000
0.690000,0.000650,0.000000,0.000000
0.700000,0.000683,0.000000,0.000000
0.710000,0.000717,0.000000,0.000000
0.720000,0.000753,0.000000,0.000000
0.730000,0.000790,0.000000,0.000000
0.740000,0.000829,0.000000,0.000000
0.750000,0.000870,0.000000,0.000000
0.760000,0.000912,0.000000,0.000000
0.770000,0.000957,0.000000,0.000000
0.780000,0.001003,0.000000,0.000000
0.790000,0.001051,0.000000,0.000000
0.800000,0.001101,0.000000,0.000000
0.810000,0.001153,0.000000,0.000000
0.820000,0.001208,0.000000,0.000000
0.830000,0.001265,0.000000,0.000000
0.840000,0.001324,0.000000,0.000000
0.850000,0.001386,0.000000,0.000000
0.860000,0.001450,0.000000,0.000000
0.870000,0.001517,0.000000,0.000000
0.880000,0.001587,0.000000,0.000000
0.890000,0.001660,0.000000,0.000000
0.900000,0.001735,0.000000,0.000000
0.910000,0.001814,0.000000,0.000000
0.920000,0.001897,0.000000,0.000000
0.930000,0.001983,0.000000,0.000000
0.940000,0.002072,0.000000,0.000000
0.950000,0.002165,0.000000,0.000000
0.960000,0.002262,0.000000,0.000000
0.970000,0.002363,0.000000,0.000000
0.980000,0.002468,0.000000,0.000000
0.990000,0.002578,0.000000,0.000000
1.000000,0.002692,0.000000,0.000000
1.010000,0.002811,0.000000,0.000000
1.020000,0.002935,0.000000,0.000000
1.030000,0.003064,0.000000,0.000000
1.040000,0.003199,0.000000,0.000000
1.050000,0.003338,0.000000,0.000000
1.060000,0.003484,0.000000,0.000000
1.070000,0.003636,0.000000,0.000000
1.080000,0.003794,0.000000,0.000000
1.090000,0.003958,0.000000,0.000000
1.100000,0.004130,0.000000,0.000000
1.110000,0.004308,0.000000,0.000000
1.120000,0.004494,0.000000,0.000000
1.130000,0.004687,0.000000,0.000000
1.140000,0.004888,0.000000,0.000000
1.150000,0.005098,0.000000,0.000000
1.160000,0.005316,0.000000,0.000000
1.170000,0.005543,0.000000,0.000000
1.180000,0.005780,0.000000,0.000000
1.190000,0.006026,0.000000,0.000000
1.200000,0.006282,0.000000,0.000000
1.210000,0.006549,0.000000,0.000000
1.220000,0.006826,0.000000,0.000000
1.230000,0.007115,0.000000,0.000000
1.240000,0.007416,0.000000,0.000000
1.250000,0.007729,0.000000,0.000000
1.260000,0.008055,0.000000,0.000000
1.270000,0.008394,0.000000,0.000000
1.280000,0.008747,0.000000,0.000000
1.290000,0.009114,0.000000,0.000000
1.300000,0.009497,0.000000,0.000000
1.310000,0.009895,0.000000,0.000000
1.320000,0.010309,0.000000,0.000000
1.330000,0.010740,0.000000,0.000000
1.340000,0.011188,0.000000,0.000000
1.350000,0.011655,0.000000,0.000000
1.360000,0.012141,0.000000,0.000000
1.370000,0.012646,0.000000,0.000000
1.380000,0.013172,0.000000,0.000000
1.390000,0.013719,0.000000,0.000000
1.400000,0.014288,0.000000,0.000000
1.410000,0.014881,0.000000,0.000000
1.420000,0.015497,0.000000,0.000000
1.430000,0.016138,0.000000,0.000000
1.440000,0.016806,0.000000,0.000000
1.450000,0.017500,0.000000,0.000000
1.460000,0.018222,0.000000,0.000000
1.470000,0.018973,0.000000,0.000000
1.480000,0.019755,0.000000,0.000000
1.490000,0.020568,0.000000,0.000000
1.500000,0.021413,0.000000,0.000000
1.510000,0.022293,0.000000,0.000000
1.520000,0.023208,0.000000,0.000000
1.530000,0.024160,0.000000,0.000000
1.540000,0.025150,0.000000,0.000000
1.550000,0.026179,0.000000,0.000000
